"poi_id";"timestamp";"description";"image_name";"lat";"lon";"display_mode";"feedback_type"
1;"2017-07-15 11:35:56";"";"img_sfr_20170715_113604.jpg";47.283781999999995;9.485567;100;201
2;"2017-07-15 11:39:20";"";"img_sfr_20170715_113926.jpg";47.283761999999996;9.485636999999999;100;200
3;"2017-07-15 12:07:58";"";"img_sfr_20170715_120806.jpg";47.282045;9.481512;100;200
4;"2017-07-15 12:14:21";"";"img_sfr_20170715_121427.jpg";47.281273999999996;9.480678;100;200
5;"2017-07-15 12:18:21";"";"img_sfr_20170715_121831.jpg";47.280483;9.479790999999999;100;200
6;"2017-07-15 12:21:41";"";"img_sfr_20170715_122146.jpg";47.279593;9.478755;100;200
7;"2017-07-15 12:26:48";"";"img_sfr_20170715_122655.jpg";47.277741999999996;9.477928;100;200
8;"2017-07-15 12:32:29";"";"img_sfr_20170715_123234.jpg";47.27718;9.477176;100;200
9;"2017-07-15 13:21:56";"";"img_sfr_20170715_132201.jpg";47.268606999999996;9.467234999999999;100;200
10;"2017-07-15 13:37:43";"";"img_sfr_20170715_133748.jpg";47.265332;9.462809;100;200
11;"2017-07-15 13:44:16";"";"img_sfr_20170715_134422.jpg";47.263376;9.459228;100;200
12;"2017-07-15 13:48:38";"";"img_sfr_20170715_134842.jpg";47.26307;9.457965999999999;100;200
13;"2017-07-15 13:49:19";"";"img_sfr_20170715_134927.jpg";47.262995;9.457799999999999;100;200
14;"2017-07-15 14:25:36";"";"img_sfr_20170715_142540.jpg";47.260911;9.451739;100;200
15;"2017-07-15 15:01:38";"";"img_sfr_20170715_150142.jpg";47.251069;9.435815;100;200
16;"2017-07-15 15:05:53";"";"img_sfr_20170715_150557.jpg";47.250122;9.432478999999999;100;200
17;"2017-07-15 15:14:23";"";"img_sfr_20170715_151430.jpg";47.247502;9.426292;100;200
18;"2017-08-13 11:12:30";"";"img_sfr_20170813_111239_037dsc_0016.jpg";47.296327;9.43571;100;200
19;"2017-08-13 11:16:01";"";"img_sfr_20170813_111605_413dsc_0017.jpg";47.286657999999996;9.428514999999999;100;200
20;"2017-08-13 11:16:14";"";"img_sfr_20170813_111618_901dsc_0018.jpg";47.286657999999996;9.428514999999999;100;201
21;"2017-08-13 12:07:52";"";"img_sfr_20170813_120759_069dsc_0023.jpg";47.283476;9.411940999999999;100;200
22;"2017-08-13 12:12:40";"";"img_sfr_20170813_121247_277dsc_0030.jpg";47.282866999999996;9.410542999999999;100;200
23;"2017-08-13 12:30:44";"";"img_sfr_20170813_123048_797dsc_0031.jpg";47.278093;9.401454;100;200
24;"2017-08-13 12:32:28";"";"img_sfr_20170813_123244_243dsc_0032.jpg";47.277845;9.400763;100;200
25;"2017-08-13 12:39:39";"";"img_sfr_20170813_123946_568dsc_0033.jpg";47.278227;9.397138;100;200
26;"2017-08-13 13:13:39";"";"img_sfr_20170813_131344_864dsc_0034.jpg";47.278293;9.395401;100;200
27;"2017-08-13 13:18:37";"";"img_sfr_20170813_131844_048dsc_0035.jpg";47.278195;9.394321999999999;100;200
28;"2017-08-13 13:20:42";"";"img_sfr_20170813_132046_900dsc_0036.jpg";47.277803999999996;9.393854;100;200
29;"2017-08-13 13:42:00";"";"img_sfr_20170813_134204_877dsc_0038.jpg";47.276191999999995;9.390628999999999;100;201
30;"2017-08-13 13:49:09";"";"img_sfr_20170813_134914_934dsc_0039.jpg";47.276505;9.391993;100;200
31;"2017-08-13 14:04:53";"";"img_sfr_20170813_140457_567dsc_0040.jpg";47.277544;9.397829999999999;100;201
32;"2017-08-13 14:19:14";"";"img_sfr_20170813_141920_727dsc_0042.jpg";47.278462;9.403474;100;200
33;"2017-08-13 14:38:42";"";"img_sfr_20170813_143845_177dsc_0044.jpg";47.280853;9.409106;100;200
34;"2017-08-13 14:58:41";"";"img_sfr_20170813_145847_163dsc_0046.jpg";47.281369999999995;9.411933;100;201
35;"2017-08-13 15:36:20";"";"img_sfr_20170813_153625_896dsc_0049.jpg";47.271919999999994;9.404838;100;200
36;"2017-08-13 15:37:20";"";"img_sfr_20170813_153726_839dsc_0050.jpg";47.271828;9.404665999999999;100;200
37;"2017-08-13 15:41:46";"";"";47.270106999999996;9.401143;100;200
38;"2017-08-13 16:21:26";"";"img_sfr_20170813_162131_124dsc_0053.jpg";47.274623;9.409996999999999;100;200
4059679;"2017-09-03 14:29:02";"Speedos verboten?";"jpeg_20170903_142757_1541539507.jpg";46.58099651;9.78968688;100;202
16297951;"2017-09-03 14:45:25";"";"jpeg_20170903_144451_783112461.jpg";46.5833544;9.78097543;100;200
29736304;"2017-09-03 14:20:06";"";"jpeg_20170903_141929_1341537482.jpg";46.5807692;9.78706475;100;200
40270125;"2017-09-03 15:20:07";"";"jpeg_20170903_151929_29340204.jpg";46.58836345;9.77722743;100;201
58098814;"2017-09-03 14:09:23";"";"jpeg_20170903_140813_1127990910.jpg";46.58022299;9.78543498;100;200
68795371;"2017-09-03 14:19:07";"";"jpeg_20170903_141841_596138176.jpg";46.5808016;9.78715785;100;202
121430439;"2017-09-04 14:00:43";"";"jpeg_20170904_140020_944638076.jpg";46.6243051;9.77329846;100;202
141204279;"2017-09-03 13:43:24";"";"jpeg_20170903_134300_596138176.jpg";46.58682923;9.77639866;100;202
143622746;"2017-09-03 14:02:22";"";"jpeg_20170903_140018_427531795.jpg";46.58234923;9.78287658;100;200
156583439;"2017-09-03 13:48:08";"Winter is coming...";"jpeg_20170903_134738_1341537482.jpg";46.58626411;9.77522213;100;200
165800577;"2017-09-04 12:33:50";"";"jpeg_20170904_123334_1859154140.jpg";46.62274165;9.79584988;100;200
201574231;"2017-09-03 14:44:47";"";"jpeg_20170903_144428_252254795.jpg";46.58335715;9.78097212;100;200
216725237;"2017-09-04 11:07:25";"Alp Darlux";"jpeg_20170904_110649_2098318554.jpg";46.62461189;9.7799136;100;200
228658353;"2017-09-03 14:27:05";"";"jpeg_20170903_142628_1413100815.jpg";46.58091235;9.78920232;100;200
230925871;"2017-09-03 14:37:51";"";"jpeg_20170903_143652_427531795.jpg";46.58220934;9.78440608;100;200
236422351;"2017-09-03 13:35:57";"Eine Baustelle, halt...";"jpeg_20170903_133517_664531050.jpg";46.58882817;9.7752543;100;201
243176673;"2017-09-03 14:41:49";"";"jpeg_20170903_144113_1127990910.jpg";46.58280753;9.78281045;100;200
243265533;"2017-09-03 14:12:38";"";"jpeg_20170903_141206_664531050.jpg";46.58069286;9.78595099;101;200
247808114;"2017-09-04 11:45:51";"";"jpeg_20170904_114529_1347782301.jpg";46.62143287;9.78957343;101;200
260331508;"2017-09-03 13:55:48";"";"jpeg_20170903_135513_1541539507.jpg";46.58401447;9.77959749;100;200
269104319;"2017-09-03 14:02:54";"";"jpeg_20170903_140224_1989209745.jpg";46.5816907;9.7835657;100;200
282622458;"2017-09-03 13:54:36";"";"jpeg_20170903_135417_1413100815.jpg";46.58417452;9.77935466;100;200
294083404;"2017-09-03 14:40:31";"";"jpeg_20170903_143916_1989209745.jpg";46.58283973;9.78332795;100;200
